x,y,order,hole,piece,group,fips,abbr,full,county
986602.7502,-2114012.877,55473,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
986144.7183,-2113986.672,55474,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
986024.0445,-2113726.167,55475,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
986131.726,-2113315.039,55476,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
985541.7897,-2112621.385,55477,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
985956.0003,-2112470.763,55478,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
986262.5294,-2112042.459,55479,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
985981.104,-2111953.495,55480,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
985500.8311,-2111144.672,55481,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
985215.2218,-2110858.843,55482,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
984765.778,-2110714.607,55483,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
984442.2929,-2110175.318,55484,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
983743.3539,-2109824.968,55485,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
983617.3951,-2109591.988,55486,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
982839.6217,-2109311.664,55487,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
982653.9866,-2108949.643,55488,FALSE,1,699,72053,PR,Puerto Rico,Fajardo Municipio
1016493.296,-2117850.436,55489,FALSE,2,788.1,72037,PR,Puerto Rico,Ceiba Municipio
1017226.147,-2118049.283,55490,FALSE,2,788.1,72037,PR,Puerto Rico,Ceiba Municipio
